// ROUTE SHEET exported by JRC ECDIS.
// <<NOTE>>This strings // indicate comment column/cells. You can edit freely.
// V15B-Charleston to Beaumont,<Normal>,CHAR-KW-BEAU
// WPT No.,LAT,,,LON,,,PORT[NM],STBD[NM],Arr. Rad[NM],Speed[kn],Sail(RL/GC),ROT[deg/min],Turn Rad[NM],Time Zone,,Name
000,32,47.749,N,079,55.561,W,***,***,***,***,***,***,***,00:00,E,WP001
001,32,46.968,N,079,54.766,W,0.10,0.10,0.50,012.0,RL,22.92,0.50,00:00,E,
002,32,46.333,N,079,53.258,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,
003,32,45.500,N,079,51.949,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,
004,32,44.341,N,079,50.750,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,
005,32,43.333,N,079,48.615,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,
006,32,35.479,N,079,32.087,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,WP002
007,27,58.855,N,079,25.200,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,ECA EXIT
008,26,20.487,N,079,27.454,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,
009,25,26.771,N,079,40.502,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,ECA ENTRY
010,24,49.939,N,080,05.414,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,
011,24,21.795,N,081,02.690,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,
012,24,13.878,N,081,42.832,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,KEYWEST
013,24,07.972,N,083,17.698,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,
014,27,51.300,N,092,34.500,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,
015,28,13.400,N,092,53.700,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,
016,28,36.400,N,093,12.500,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,
017,29,08.100,N,093,39.900,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,
018,29,25.000,N,093,40.300,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,PSTN SABINE
019,29,25.700,N,093,40.000,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,
020,29,28.900,N,093,40.000,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,
021,29,35.900,N,093,48.200,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,
022,29,38.643,N,093,49.522,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,
023,29,41.359,N,093,50.226,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,
024,29,43.797,N,093,52.050,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,
025,29,44.611,N,093,52.722,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,
026,29,45.367,N,093,53.397,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,
027,29,45.763,N,093,54.521,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,
028,29,46.295,N,093,56.073,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,
029,29,46.785,N,093,56.621,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,
030,29,47.212,N,093,56.857,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,
031,29,48.095,N,093,57.184,W,0.10,0.10,0.50,030.0,RL,57.30,0.50,00:00,E,
